
1610290067209,abdomen,1773,1610290067009,
1610290067209,abdomen,1760,1610290067109,
1610290067209,abdomen,1763,1610290067209,
1610290067387,rr,848,
1610290067387,heartrate,67,
1610290067454,ribcage,1862,1610290066854,
1610290067454,ribcage,1850,1610290066954,
1610290067454,ribcage,1835,1610290067054,
1610290067454,ribcage,1833,1610290067154,
1610290067454,ribcage,1826,1610290067254,
1610290067454,ribcage,1826,1610290067354,
1610290067454,ribcage,1819,1610290067454,
1610290067910,abdomen,1761,1610290067310,
1610290067910,abdomen,1756,1610290067410,
1610290067910,abdomen,1762,1610290067510,
1610290067910,abdomen,1758,1610290067610,
1610290067910,abdomen,1759,1610290067710,
1610290067910,abdomen,1747,1610290067810,
1610290067910,abdomen,1749,1610290067910,
1610290068154,ribcage,1819,1610290067554,
1610290068154,ribcage,1810,1610290067654,
1610290068154,ribcage,1808,1610290067754,
1610290068154,ribcage,1808,1610290067854,
1610290068154,ribcage,1798,1610290067954,
1610290068154,ribcage,1798,1610290068054,
1610290068154,ribcage,1798,1610290068154,
1610290068384,rr,902,
1610290068384,heartrate,68,
1610290068613,abdomen,1747,1610290068013,
1610290068613,abdomen,1743,1610290068113,
1610290068613,abdomen,1746,1610290068213,
1610290068613,abdomen,1739,1610290068313,
1610290068613,abdomen,1742,1610290068413,
1610290068613,abdomen,1739,1610290068513,
1610290068613,abdomen,1733,1610290068613,
1610290068854,ribcage,1791,1610290068254,
1610290068854,ribcage,1793,1610290068354,
1610290068854,ribcage,1793,1610290068454,
1610290068854,ribcage,1791,1610290068554,
1610290068854,ribcage,1784,1610290068654,
1610290068854,ribcage,1792,1610290068754,
1610290068854,ribcage,1791,1610290068854,
1610290069309,abdomen,1736,1610290068709,
1610290069309,abdomen,1736,1610290068809,
1610290069309,abdomen,1740,1610290068909,
1610290069309,abdomen,1732,1610290069009,
1610290069309,abdomen,1737,1610290069109,
1610290069309,abdomen,1736,1610290069209,
1610290069309,abdomen,1733,1610290069309,
1610290069378,rr,1231,
1610290069378,heartrate,68,
1610290069550,ribcage,1783,1610290068950,
1610290069550,ribcage,1789,1610290069050,
1610290069550,ribcage,1786,1610290069150,
1610290069550,ribcage,1788,1610290069250,
1610290069550,ribcage,1783,1610290069350,
1610290069550,ribcage,1789,1610290069450,
1610290069550,ribcage,1786,1610290069550,
1610290070010,abdomen,1739,1610290069410,
1610290070010,abdomen,1734,1610290069510,
1610290070010,abdomen,1739,1610290069610,
1610290070010,abdomen,1732,1610290069710,
1610290070010,abdomen,1733,1610290069810,
1610290070010,abdomen,1732,1610290069910,
1610290070010,abdomen,1730,1610290070010,
1610290070263,ribcage,1783,1610290069663,
1610290070263,ribcage,1784,1610290069763,
1610290070263,ribcage,1781,1610290069863,
1610290070263,ribcage,1787,1610290069963,
1610290070263,ribcage,1783,1610290070063,
1610290070263,ribcage,1787,1610290070163,
1610290070263,ribcage,1795,1610290070263,
1610290070375,rr,1106,
1610290070375,heartrate,68,
1610290070712,abdomen,1738,1610290070112,
1610290070712,abdomen,1739,1610290070212,
1610290070712,abdomen,1747,1610290070312,
1610290070712,abdomen,1749,1610290070412,
1610290070712,abdomen,1753,1610290070512,
1610290070712,abdomen,1762,1610290070612,
1610290070712,abdomen,1763,1610290070712,
