hist_size,mse,r2
20,0.009546707096689179,0.4382016758116869
40,0.008042546123284738,0.5264840923439099
60,0.007788278740395287,0.5412014695875309
80,0.008055776452295722,0.5251432521917748
100,0.00681997806211895,0.5977865593516442
120,0.006686037912630859,0.6056406165652194
140,0.007330622279848981,0.5676134016870713
