hist_size,mse,r2
20,0.011637848894582458,0.3193814000517252
40,0.009996050168051043,0.41388804749017616
60,0.009131601344945004,0.463680775913514
80,0.008414625999403264,0.5052764602343534
100,0.0060516597658965806,0.6440036487126377
120,0.008693661610283647,0.4883635732495011
