kernel_size,mse,r2
2,0.010107613358464457,0.4054071750506535
4,0.006107738306173666,0.6407047594002102
6,0.005725725452015023,0.6631771368117318
8,0.0064037143729149554,0.6232936021467796
10,0.0059277259952461026,0.6512942056605825
