hist_size,mse,r2
20,0.007831756445162562,0.5391219609252249
40,0.0074196463715186485,0.5631581675453348
60,0.00750764541146663,0.55773325577405
80,0.007498394286272296,0.557998767015397
100,0.006061543817268914,0.6425158010512708 
120,0.007072374981792085,0.5828534815858318
